职位唯一标识(encryptJobId),职位名称,薪资,技能要求,学历要求,工作经验,公司名称,城市,招聘负责人,福利,职位链接
efb0159c65b31e4a03d_3925GFdQ,《王者万象棋》-资深UI动效,25-50K·16薪,"['有UI设计经验/技能', '甲方公司', '五险一金', '周末双休', '现场办公', '5年以上UI设计经验', '动效设计经验', '交互设计经验', '游戏行业经验']",学历不限,5-10年,腾讯,成都,邱女士,"住房补贴, 定期体检, 交通补助, 免费班车, 节日福利, 股票期权, 零食下午茶, 补充医疗保险, 包吃, 带薪年假, 餐补, 员工旅游, 五险一金, 免费早晚餐, 公仔周边活动, 免费健身房, 年终奖",https://www.zhipin.com/job_detail/efb0159c65b31e4a03d_3925GFdQ.html?securityId=nZOS0a9KrJEeR-G1HVvv8ltZzON6T-FaTq8JOTGMfv1QQ_Y-SfIYupM9fS-5Mvz2bwY1_DGCml1linNS92vBB_rrRc3Xy-kD8FDsJ4NnLiYlVC6iTuE~
c656bce7134e2d491H142t68F1ZV,3D场景-武汉（腾娱）,11-18K·14薪,"['PBR', '手绘', '资产']",大专,1-3年,腾讯,武汉,袁女士,"五险一金, 住房补贴, 免费早晚餐, 免费班车, 公仔周边活动, 员工旅游, 股票期权, 定期体检, 零食下午茶, 免费健身房, 带薪年假, 餐补, 交通补助, 包吃, 节日福利, 年终奖, 补充医疗保险",https://www.zhipin.com/job_detail/c656bce7134e2d491H142t68F1ZV.html?securityId=0oSbJ5lX6PGb3-b1VfiDJRruHVbWXhA7LyrkTnvDrq8JWSep2aJN7Z3viDdkIV_b48uI5_D0mQPg1LJ1gFqsbl9uOVsPzI1OM4Z2T-s98fgWUlKOZ74~
841d8102d6ea98a903V83tS-F1pR,KF—智能运营经理（云智服）,11-20K,"['业务数据分析', 'Python/R语言/SPSS', '统计/数学相关专业', '计算机相关专业', 'Tableau/Power BI', '数据分析/商业分析经验', 'SQL']",本科,3-5年,腾讯,重庆,许先生,"员工旅游, 补充医疗保险, 定期体检, 带薪年假, 股票期权, 公仔周边活动, 住房补贴, 年终奖, 餐补, 免费早晚餐, 交通补助, 节日福利, 免费健身房, 五险一金, 零食下午茶, 免费班车, 包吃",https://www.zhipin.com/job_detail/841d8102d6ea98a903V83tS-F1pR.html?securityId=QBR8Fsb2GqjGK-T1eiDMJJEfgsB138CP6weQqFrQiOTt3V3V02en1crnwSPrC3Jb57vUqUnRnOwXYEPMwwvnSw4eQeSGN1a7qoMaUPXYhdtSLQA5rz0ddNShDmSXwKInAiC9yoGfInNI3IQjggxFehw~
dc1850ac14fbc70c03Z82dW_E1pY,穿越火线端游-活动/商业化运营（深圳腾娱）,12-16K,"['端游', '资深游戏玩家', '射击游戏', '游戏活动运营']",本科,1-3年,腾讯,深圳,柯先生,"股票期权, 定期体检, 公仔周边活动, 免费早晚餐, 免费健身房, 免费班车, 五险一金, 餐补, 补充医疗保险, 节日福利, 带薪年假, 包吃, 住房补贴, 零食下午茶, 员工旅游, 年终奖, 交通补助",https://www.zhipin.com/job_detail/dc1850ac14fbc70c03Z82dW_E1pY.html?securityId=tHmosbzqTOsSR-l1LQDgKLK2Jrl8WEYLvm3k7qVjZEC6bCxT2-Y0pJpJ676U-fF9HHBMiT9H8JA7mf39beYDoMJyN5Qmg9JeSD32725ESjpW5xB1UCk~
e281bd4bd9239dd203Z42Nm6EFFT,大语言模型算法研究员,35-60K·16薪,"['大模型', '预训练', 'NLP', 'NLP论文']",硕士,5-10年,腾讯,上海,杨女士,"五险一金, 补充医疗保险, 带薪年假, 免费班车, 住房补贴, 定期体检, 餐补, 免费早晚餐, 包吃, 公仔周边活动, 股票期权, 零食下午茶, 员工旅游, 节日福利, 年终奖, 免费健身房, 交通补助",https://www.zhipin.com/job_detail/e281bd4bd9239dd203Z42Nm6EFFT.html?securityId=imiyjWjEZWGrh-u1Vg5h-W5KOx-tGHZ6fqlaqMBBDLNDIi_t8DekONiDmsH5STWjMK6YUHYx9BoT_I9_HFSwW-EfV1zMSOGKgXK_joIjRBnsvrfyBn0~
ac19d82101b3fa8303d909S1EVpR,数据产品专家（北京/深圳）,30-60K·15薪,"['中台产品', '大数据产品']",本科,3-5年,腾讯,北京,戴女士,"补充医疗保险, 免费早晚餐, 带薪年假, 年终奖, 交通补助, 餐补, 节日福利, 免费健身房, 五险一金, 定期体检, 免费班车, 住房补贴, 包吃, 员工旅游, 零食下午茶, 公仔周边活动, 股票期权",https://www.zhipin.com/job_detail/ac19d82101b3fa8303d909S1EVpR.html?securityId=AmGL2B9UIhgW--51_NQ3I40KWMrs5ipWcIOanTLrvA4ZiUBnRz-_9Y3khiecJkKIePnB88DExpGQe6E31dGO_MmxQcQ-3VYXEhPE_VKTNJ27LA9SHEvrjVco4LF0mvYAAPFMiTReWtf7oFy8AFtQTWM~
c553131452f9e5d103B93d61ElFS,游戏翻译,6-10K,[],本科,经验不限,腾讯,深圳,王女士,"节日福利, 五险一金, 交通补助, 有无线网, 免费班车, 员工旅游, 公仔周边活动, 年终奖, 免费健身房, 带薪年假, 补充医疗保险, 团建聚餐, 定期体检, 意外险",https://www.zhipin.com/job_detail/c553131452f9e5d103B93d61ElFS.html?securityId=1bXh5oiuLgXGZ-S1smgNr4zJnjvxhs7JbJovCM_X2EKkBC1te6KVoNWfnVWi-He5glyHACqcQHy2P020SAX4C39wbwwM1oMj7KC9IRxLxJ-g
087e3835d7fcf64303Vz39i6EVJR,微信搜索-高级客户端开发工程师(广州),30-60K·17薪,[],本科,5-10年,腾讯,广州,郭先生,"员工旅游, 补充医疗保险, 公仔周边活动, 股票期权, 零食下午茶, 免费健身房, 定期体检, 交通补助, 免费班车, 餐补, 节日福利, 年终奖, 免费早晚餐, 带薪年假, 住房补贴, 五险一金, 包吃",https://www.zhipin.com/job_detail/087e3835d7fcf64303Vz39i6EVJR.html?securityId=eNXCNmv9aE9GI-O1EnrViAzffJlO4JR0VsYIXRiciu_hBJ34mgzeUKF-xToWO25zWayDMhn-M6qwlkp5SNJ51tXuVi9sjK735u0odS4mBAtfJSisNhcG
3f262831b844000f1Xx429u9GVpY,腾讯云网络产品经理,40-70K·16薪,"['B端产品', '云计算', '腾讯云']",本科,5-10年,腾讯,深圳,Y先生,"年终奖, 补充医疗保险, 交通补助, 带薪年假, 股票期权, 五险一金, 节日福利, 免费班车, 定期体检, 餐补, 住房补贴, 零食下午茶, 免费早晚餐, 免费健身房, 员工旅游, 公仔周边活动, 包吃",https://www.zhipin.com/job_detail/3f262831b844000f1Xx429u9GVpY.html?securityId=CsLIXpgBxBczB-619mQ51KvwgVoJUvshEwjhn6CFZfrL67FPhE6zNiXJHyAJbLto19XnVuxi7G3LRUnx66h1ttzpdmPk8-JtJI0v-dvjtPpKHXzzv-Px
915f1f5b8ecdea3103Z609i1FlpV,腾讯云-规划架构师（AI&GPU方向）,30-60K·15薪,['云计算架构'],本科,3-5年,腾讯,深圳,蔡女士,"免费班车, 补充医疗保险, 五险一金, 带薪年假, 公仔周边活动, 节日福利, 员工旅游, 免费健身房, 住房补贴, 包吃, 餐补, 零食下午茶, 股票期权, 免费早晚餐, 定期体检, 年终奖, 交通补助",https://www.zhipin.com/job_detail/915f1f5b8ecdea3103Z609i1FlpV.html?securityId=vNxheOVVqK5vR-V17o_yjb0VI1gQi9K1ma91ZymRw9E0P4bqDyF_Uh3ff1fvvR230QIa7sITy5s-2wpUE_6JAnKesXJfSbItvYpy1qVWNPKwdgT9KOht
cafa0d8ffeb938c003V409W7GFdX,游戏研发项目管理,13-20K·14薪,[],本科,3-5年,腾讯,武汉,许先生,"有无线网, 节日福利, 定期体检, 公仔周边活动, 交通补助, 带薪年假, 免费健身房, 免费班车, 团建聚餐, 员工旅游, 年终奖, 补充医疗保险, 意外险, 五险一金",https://www.zhipin.com/job_detail/cafa0d8ffeb938c003V409W7GFdX.html?securityId=iXQOkX6Wge9Ni-61ErPgB7QFo4XNUc_5OaOVJaEmzlZAanfUXhIm34IWOnhzrQVAxSaKB6OVSV5b_DYwGXpg7vVWjODWS5gFenLoVOFogb14
1337bf0126f8e65c03d809q4GVBX,腾娱-UE特效-3A品质UE5动作游戏（深圳）,15-25K·14薪,"['写实', '第一人称', '动作冒险', 'UE4', '五险', '五险一金']",大专,3-5年,腾讯,深圳,李女士,"零食下午茶, 定期体检, 股票期权, 住房补贴, 免费班车, 免费早晚餐, 五险一金, 带薪年假, 交通补助, 员工旅游, 年终奖, 补充医疗保险, 免费健身房, 餐补, 包吃, 公仔周边活动, 节日福利",https://www.zhipin.com/job_detail/1337bf0126f8e65c03d809q4GVBX.html?securityId=6HMtSXJ2elub2-P1FlqSrDLRkNOYK-wzWQI2EEYeSM1hkVnBThvagh3opKMbg_9QZ8hTLs1m9sbvM-JMaqyEjgsABDaDjIm8YJpZB6Ip5ZGTYiKq3xvw
c98152826817a64d1nB5396-GFFZ,云存储运维工程师,15-30K·16薪,"['集群运维', '存储运维', 'Linux', 'Python', '分布式技术', 'ELK', 'GlusterFS', 'K8S']",本科,3-5年,腾讯,西安,金先生,"节日福利, 公仔周边活动, 意外险, 有无线网, 免费班车, 五险一金, 年终奖, 定期体检, 带薪年假, 团建聚餐, 员工旅游, 补充医疗保险, 交通补助, 免费健身房",https://www.zhipin.com/job_detail/c98152826817a64d1nB5396-GFFZ.html?securityId=qXbvv2JuGWFLk-91cIg5cPJ6ciy2eHw2YXjDxtqyjB83F7EOAexdB5zMCUMx6uqaCNepJ4yUBOMv9vs8_SmVmyeaub3Jb_hJMWmiRvVAURn5
532cbc429fb219281HN43dq4E1RR,高级mac软件开发工程师,30-60K·16薪,"['C++', 'C', 'QT', '桌面开发经验', 'mac客户端']",本科,3-5年,腾讯,深圳,聂先生,"公仔周边活动, 带薪年假, 团建聚餐, 有无线网, 年终奖, 节日福利, 员工旅游, 免费班车, 定期体检, 意外险, 补充医疗保险, 交通补助, 五险一金, 免费健身房",https://www.zhipin.com/job_detail/532cbc429fb219281HN43dq4E1RR.html?securityId=V5lrNSaw2sUwW-C15dq61cEEvei2thlRMjA1VXqdQ_DnTiPNpEwPkrHrucmDYlgaxCFT7_VtNWPMBwhsbAWMhGSBXTdECUBVGy2ppUzU5OwZ
03f86fd801d57a6d1H193Nu1FVNU,《王者荣耀世界》游戏数据分析(上海),30-55K·15薪,['游戏'],本科,5-10年,腾讯,上海,蔡女士,"节日福利, 餐补, 交通补助, 免费班车, 免费健身房, 员工旅游, 年终奖, 零食下午茶, 补充医疗保险, 包吃, 定期体检, 股票期权, 公仔周边活动, 带薪年假, 住房补贴, 免费早晚餐, 五险一金",https://www.zhipin.com/job_detail/03f86fd801d57a6d1H193Nu1FVNU.html?securityId=D3ZkK57TssS6w-v1N9aWXwEWwqT18oxmmmHl5jX3NkC6T58rDipyXjRJRk-ceXt4BYrke1qrxS9uWVUgxmPuCg3Iqesqk4jc5ZloS2Dxz4AaC027KHw~
07d899293ede16771HN53d-6F1VQ,《王者荣耀》国际版数据分析（成都）,15-16K·16薪,"['SQL', '数学/统计相关专业', '数据分析/挖掘经验']",本科,5-10年,腾讯,成都,王女士,"零食下午茶, 定期体检, 节日福利, 包吃, 免费早晚餐, 免费健身房, 股票期权, 交通补助, 五险一金, 公仔周边活动, 员工旅游, 补充医疗保险, 带薪年假, 餐补, 住房补贴, 年终奖, 免费班车",https://www.zhipin.com/job_detail/07d899293ede16771HN53d-6F1VQ.html?securityId=QftL8OlASTL0w-41BB_-x7H-RIoKxfkoPa5IAclWj6W-XfyJ2OkxVlnedCTh7w6I4v4hAVtgTTctCJwKf-UbxcQnngnxVgTQiYSgn6C50i3gIAcqbEJGHG_P7uUBJk6qnKfRWTWbimCWSVsIqB73T8eZ
2017f0993c8633b21HR92tu_EVdZ,大数据运维工程师,25-50K·14薪,"['Hive', 'Spark', 'Java', 'pulsar', 'kafka']",本科,5-10年,腾讯,深圳,江先生,"节日福利, 免费健身房, 补充医疗保险, 带薪年假, 意外险, 年终奖, 有无线网, 员工旅游, 交通补助, 免费班车, 公仔周边活动, 五险一金, 定期体检, 团建聚餐",https://www.zhipin.com/job_detail/2017f0993c8633b21HR92tu_EVdZ.html?securityId=ryIJLdeq0j95G-K1SReB2-3XefFfp9yco4QA6_mtCs8swEYXFHFCfv3BoLQLyYzyroKGqJ5Sq0Nu_-wUdIGfq1_fz3DziNHC48RM_95AjezNioO6krRY2kyRpz-bjBdjo1HrjDF0oo9fwis9
